name,genome.size,HCN,maplength,chr_phys,chr_gen
acacia,635.7,13,966,48.9,74.3
acromyrmex,335,19,2033,17.6,107
acropora,420,14,1391,30,99.4
actinidia,1408.3,29,3445,48.6,118.8
acyrthosiphon,165,5,394,33,78.8
aedes,942,3,235,314,78.3
aedes,1090,3,212,363.3,70.7
ageilops,6894,7,818,984.9,116.9
aegilops,4327,7,1374,618.1,196.3
aegilops,4938,7,948,705.4,135.4
agaricus,30.2,13,1156,2.3,88.9
agrostis,4000,14,1156,285.7,82.6
agrostis,3423,14,1424,244.5,101.7
allium,16381,9,808,1820.1,89.8
amaranthus,616,16,1288,38.5,80.5
ambystoma,30875,14,5251,2205.4,375.1
ananas,537,25,2113,21.5,84.5
anas,1375,40,1766,34.4,44.2
anguilla,1151,19,1436,60.6,75.6
anopheles,225,3,145,75,48.3
anoplopoma,757,24,1332,31.5,55.5
anthurium,4694,15,1023,312.9,68.2
apis,185,16,574,11.6,35.9
apis,229,16,4115,14.3,257.2
apostichopus,664,22,3706,30.2,168.5
arabidopsis,234,8,567,29.3,70.9
arabidopsis,123,5,422,24.6,84.4
arachis,1242,10,1081,124.2,108.1
arachis,2806,20,1446,140.3,72.3
argopecten,1173,16,849,73.3,53.1
agropecten,865,24,1917,36,79.9
artemia,948,21,1177,45.1,56
didymella,34,14,1271,2.4,90.8
aspergillus,30,8,3624,3.8,453
astatotilapia,948,20,1249,47.4,62.5
astyanax,1191,25,2110,47.6,84.4
avena,12938,21,2843,616.1,135.4
bactrocera,373,5,646,74.6,129.2
barbarea,167,8,889,20.9,111.1
begonia,616,14,1099,44,78.5
beta,1222,9,555,135.8,61.7
betula,1369,14,2489,97.8,177.8
mycalesis,479,28,1642,17.1,58.6
bison,4792,30,2647,159.7,88.2
biston,500,31,1638,16.1,52.8
boehmeeria,716,14,2265,51.1,161.8
bombus,518,18,2047,28.8,113.7
bombyx,513,28,3320,18.3,118.6
bos,3537,31,3159,114.1,101.9
bracon,165,10,536,16.5,53.6
brassica,567,10,973,56.7,97.3
brassica,1545,17,2048,90.9,120.5
brassica,1496,18,1579,83.1,87.7
brassica,1124,19,1917,59.2,100.9
brassica,762,9,890,84.7,98.9
brassica,782,10,858,78.2,85.8
cajanus,860,11,1059,78.2,96.3
camelina,641,20,1385,32.1,69.3
camellia,3814,15,1218,254.3,81.2
canis,2748,39,2085,70.5,53.5
capra,3168,30,2737,105.6,91.2
capsella,391,16,1064,24.4,66.5
capsicum,3090,12,1372,257.5,114.3
capsicum,3628,12,1056,302.3,88
carassius,1643,50,5252,32.9,105
carica,372,18,1069,20.7,59.4
carthamus,1369,12,959,114.1,79.9
castanea,833,12,743,69.4,61.9
catharanthus,2376,6,1790,396,298.3
ceratopteris,11294,39,2178,289.6,55.8
chenopodium,1447,18,1404,80.4,78
chimonathus,600,11,1801,54.5,163.7
chlamydomonas,120,17,1000,7.1,58.8
notochlamys,1244,19,1561,65.5,82.2
cicer,929,8,1083,116.1,135.4
ciona,150,14,4218,10.7,301.3
ciona,170,14,650,12.1,46.4
citrullus,440,11,1096,40,99.6
citrus,301,9,1084,33.4,120.4
citrus,490,9,976,54.4,108.4
clunio,95,3,179,31.7,59.7
cocos,3107,16,2379,194.2,148.7
coffea,1173,22,3800,53.3,172.7
coprinopsis,37,13,1346,2.8,103.5
corchorus,586,7,2016,83.7,288
corchorus,909,7,358,129.9,51.1
coregonus,2386,40,3061,59.7,76.5
