id,NO3,NO2,hx,25 growth,25 colour,50 growth,100 growth
CNX,0,0,1,-,-,-,-
NIR,0,1,0,-,-,-,-
1,0,0,0,1,0,0,0
10,0,0,0,1,1,2,1
13,0,0,0,0,-,0,0
14,1,0,1,1,1,0,0
15,1,1,0,1,0,0,0
16,0,0,0,0,-,0,0
17,1,1,1,1,1,1,0
18,1,1,1,1,0,0,0
19,1,1,0,1,1,2,2
20,1,0,1,1,1,1,0
21,1,0,1,1,0,0,0
22,1,0,1,1,1,1,0
23,1,0,1,1,0,1,0
24,1,1,1,0,-,1,0
25,1,0,1,1,1,1,0
26,1,1,1,1,0,0,0
27,1,1,0,1,1,0,0
28,0,0,0,1,1,1,0
29,0,0,0,0,-,0,0
30,1,1,1,1,1,1,0
31,0,0,0,1,0,0,0
32,1,1,0,1,1,0,0
33,1,1,1,1,1,2,1
34,0,0,0,1,0,0,0
36,0,0,0,0,-,0,0
38,0,0,0,1,0,0,0
39,1,0,1,1,0,0,0
40,1,0,1,1,1,1,0
41,0,0,0,1,0,0,0
43,1,1,1,1,0,0,0
48,1,0,1,1,0,0,0
50,0,0,0,1,0,1,0
53,0,0,0,1,1,1,0
55,1,0,1,1,1,2,1
56,1,1,0,0,-,0,0
57,1,1,0,1,1,2,1
66,1,1,1,0,-,0,0
67,1,0,1,0,-,0,0
68,1,1,1,1,0,0,0
69,1,0,1,1,0,1,0
70,1,0,1,1,1,0,0
71,1,0,1,0,-,0,0
72,1,1,1,1,1,1,0
73,1,0,1,1,1,0,0
75,0,0,0,1,0,0,0
77,1,0,1,1,0,0,0
78,1,0,1,1,0,1,0
79,1,1,1,1,0,0,0
80,1,0,1,1,0,0,0
81,0,0,0,0,-,1,0
82,1,0,1,1,0,0,0
83,1,1,1,1,1,2,0
84,1,1,1,1,1,0,0
85,0,0,0,1,0,1,0
86,1,1,0,1,0,0,0
87,0,0,0,1,1,1,0
88,1,1,1,0,-,0,0
89,1,1,0,1,1,0,0
90,0,0,0,-,-,-,-
91,1,0,1,1,0,1,0
92,1,1,1,1,1,2,1
93,1,1,1,1,1,0,0
94,1,0,1,0,-,0,0
95,1,1,0,1,1,2,1
96,0,0,0,1,1,2,0
98,1,1,0,0,-,0,0
99,1,1,1,1,1,0,0
100,1,1,0,1,0,0,0
101,0,0,0,1,0,1,0
102,0,0,0,1,1,0,0
103,1,0,1,1,1,0,0
104,1,1,0,1,1,0,0
105,1,1,1,1,1,0,0
106,1,1,1,1,0,0,0
107,1,1,1,1,1,2,1
108,1,0,1,1,0,0,0
109,0,0,0,0,-,0,0
110,1,0,1,1,1,0,0
111,0,0,0,1,0,0,0
112,0,0,0,1,1,0,0
113,1,1,0,1,1,2,1
114,1,1,0,1,1,1,0
116,1,1,0,1,1,0,0
117,1,0,1,1,0,1,0
118,1,0,1,0,0,0,0
119,1,1,1,1,1,2,1
120,0,0,0,0,-,0,0
122,1,1,1,1,0,0,0
123,1,0,1,0,-,0,0
124,1,0,1,1,0,0,0
125,1,0,1,0,-,0,0
127,0,0,0,0,-,0,0
129,0,0,0,1,1,1,0
131,1,1,1,1,1,1,0
132,1,0,1,1,1,1,1
133,1,1,0,1,1,0,0
134,1,1,1,-,-,-,-
135,1,1,1,1,1,1,1
136,1,0,1,1,1,2,0
137,1,1,1,1,1,1,0
138,1,0,1,1,1,2,0
139,1,1,0,1,0,0,0
140,1,0,1,0,1,0,0
141,1,1,0,0,-,1,0
142,1,1,0,1,1,0,0
143,1,1,0,1,1,1,1
144,-,-,-,1,1,0,0
145,1,0,1,1,0,0,0
146,0,0,0,0,-,0,0
148,0,0,0,0,-,0,0
150,1,0,1,0,-,0,0
151,0,0,0,0,-,0,0
152,1,1,0,1,0,0,0
153,1,1,1,1,0,0,0
154,1,1,0,1,1,1,0
155,1,1,1,1,1,2,2
156,1,1,0,1,1,1,0
157,0,0,0,1,0,0,0
158,1,1,0,1,0,1,0
159,1,1,1,0,-,0,0
161,1,1,1,1,1,2,0
163,0,0,0,1,0,0,0
164,1,1,0,1,0,0,0
165,1,0,1,1,1,0,0
166,1,1,1,1,1,1,1
167,1,0,1,1,1,2,1
168,1,1,1,0,-,0,0
169,1,1,1,1,1,1,0
170,1,1,0,1,1,1,1
171,1,1,1,1,1,2,1
172,1,1,1,1,1,0,0
173,1,1,1,1,1,0,0
175,1,1,0,1,1,1,0
176,1,1,1,1,1,2,1
177,1,1,0,1,1,1,0
178,1,1,1,1,1,1,0
179,1,1,1,1,0,1,0
180,1,1,0,1,0,1,0
181,0,0,0,1,1,1,0
182,1,1,0,1,1,1,0
183,0,0,0,1,1,1,1
184,1,1,1,1,1,1,0
185,1,1,0,1,1,0,0
188,1,1,0,1,1,2,1
189,1,0,1,1,1,1,0
190,1,0,1,1,0,1,1
191,1,1,1,1,0,0,0
192,1,0,1,1,1,1,0
193,1,1,0,1,1,0,0
194,1,1,1,1,1,0,0
195,0,0,0,1,1,1,1
196,1,1,1,1,1,1,0
197,1,1,1,1,0,0,0
199,1,0,1,1,1,1,0
200,0,0,0,1,1,0,0
201,1,1,1,1,0,0,0
202,1,1,0,1,1,0,0
205,0,0,0,0,-,1,0
206,1,0,1,1,1,1,1
207,1,0,1,1,1,1,1
208,1,1,0,1,1,2,1
209,1,1,0,1,1,2,0
210,1,1,1,1,1,0,0
211,0,0,0,1,0,1,0
212,1,1,0,1,1,0,0
213,1,1,0,1,1,1,0
214,1,0,1,1,1,0,0
215,1,0,1,1,1,2,1
217,1,1,1,1,1,2,0
218,1,0,1,1,1,2,1
219,1,1,1,1,1,2,1
220,1,1,1,1,1,1,0
222,1,1,1,1,1,2,1
223,1,0,1,1,1,1,1
224,1,0,1,1,1,2,1
225,0,0,0,1,1,1,1
226,1,0,1,0,-,0,0
227,0,0,0,-,-,-,0
232,0,0,0,1,0,0,0
233,0,0,0,1,0,0,0
234,1,1,1,0,-,0,0
235,1,1,1,1,1,1,0
236,1,1,1,1,1,1,0
237,1,1,0,1,0,1,0
238,0,0,0,1,0,0,0
239,1,1,0,1,1,1,0
240,0,0,0,1,1,0,0
241,0,0,0,1,1,2,1
242,1,1,1,1,1,2,1
243,1,1,1,1,1,0,1
244,1,1,1,1,0,1,1
248,0,0,0,0,-,1,0
249,1,1,0,1,0,0,0
250,0,0,0,1,1,1,1
251,1,0,1,1,1,2,1
252,1,0,1,1,0,1,0
253,1,1,0,1,1,1,0
