"marker","chr","pos"
"m1","chr1",13.2468
"m2","chr1",23.428
"m3","chr1",24.6264
"m4","chr1",26.0796
"m5","chr1",26.1588
"m6","chr1",26.1672
"m7","chr1",26.262
"m8","chr1",26.3056
"m9","chr1",26.3128
"m10","chr1",26.3368
"m11","chr1",26.3556
"m12","chr1",26.4188
"m13","chr1",26.4256
"m14","chr1",26.4384
"m15","chr1",26.5088
"m16","chr1",26.538
"m17","chr1",26.6108
"m18","chr1",26.6752
"m19","chr1",26.9188
"m20","chr1",27.0008
"m21","chr1",27.0372
"m22","chr1",27.1376
"m23","chr1",27.1604
"m24","chr1",27.25
"m25","chr1",27.254
"m26","chr1",27.2716
"m27","chr1",27.2892
"m28","chr1",27.2924
"m29","chr1",27.296
"m30","chr1",27.3464
"m31","chr1",27.3612
"m32","chr1",31.0588
"m33","chr1",31.234
"m34","chr1",31.5824
"m35","chr1",32.1264
"m36","chr1",34.9016
"m37","chr1",38.536
"m38","chr1",38.6708
"m39","chr1",38.718
"m40","chr1",38.7728
"m41","chr1",39.1072
"m42","chr1",39.2468
"m43","chr1",39.6256
"m44","chr1",39.6988
"m45","chr1",39.744
"m46","chr1",40.3412
"m47","chr1",41.0248
"m48","chr1",41.1748
"m49","chr1",41.2604
"m50","chr1",41.4008
"m51","chr1",41.846
"m52","chr1",42.38
"m53","chr1",42.9876
"m54","chr1",46.8764
"m55","chr1",46.9996
"m56","chr1",47.0148
"m57","chr1",47.0664
"m58","chr1",47.0928
"m59","chr1",47.218
"m60","chr1",47.3332
"m61","chr1",47.57
"m62","chr1",47.6776
"m63","chr1",47.6796
"m64","chr1",47.7584
"m65","chr1",47.7696
"m66","chr1",48.9568
"m67","chr1",49.25
"m68","chr1",49.3348
"m69","chr1",49.3944
"m70","chr1",49.4484
"m71","chr1",51.3724
"m72","chr1",52.3064
"m73","chr1",52.7584
"m74","chr1",53.146
"m75","chr1",53.1492
"m76","chr1",53.1592
"m77","chr1",55.9544
"m78","chr1",56.482
"m79","chr1",56.5664
"m80","chr1",56.6152
"m81","chr1",56.8332
"m82","chr1",57.4704
"m83","chr1",57.8532
"m84","chr1",57.8568
"m85","chr1",58.0732
"m86","chr1",58.5604
"m87","chr1",58.5636
"m88","chr1",58.6464
"m89","chr1",59.7896
"m90","chr1",60.5872
"m91","chr1",62.0628
"m92","chr1",66.4116
"m93","chr1",66.7176
"m94","chr1",67.9492
"m95","chr1",70.3668
"m96","chr1",73.254
"m97","chr1",74.7792
"m98","chr1",75.6332
"m99","chr1",77.4748
"m100","chr1",78.8376
"m101","chr1",79.0976
"m102","chr1",79.8772
"m103","chr1",81.1692
"m104","chr1",83.612
"m105","chr1",83.6368
"m106","chr1",83.7876
"m107","chr1",83.794
"m108","chr1",83.8372
"m109","chr1",86.6428
"m110","chr1",86.8612
"m111","chr1",87.0132
"m112","chr1",87.4428
"m113","chr1",92.042
"m114","chr1",92.0432
"m115","chr1",94.5972
"m116","chr1",99.8012
"m117","chr1",103.1332
"m118","chr1",103.1368
"m119","chr1",105.0024
"m120","chr1",105.14
"m121","chr1",105.214
"m122","chr1",139.634
"m123","chr1",150.2208
