"#Aspergillus physical map based on V108-20 parent, updated based on RF and Haldane's function",,
#nrow 14113,,
#ncol 3,,
marker,chr,pos
m1,chr1,6.2016
m2,chr1,6.2016001
m3,chr1,36.4929553
m4,chr1,39.82582817
m5,chr1,40.03194623
m6,chr1,41.57064667
m7,chr1,41.57064677
m8,chr1,42.59109034
m9,chr1,42.59109044
m10,chr1,42.59109054
m11,chr1,42.59109064
m12,chr1,42.59109074
m13,chr1,42.59109084
m14,chr1,42.59109094
m15,chr1,44.63052128
m16,chr1,55.88974057
m17,chr1,56.90900741
m18,chr1,59.40359328
m19,chr1,63.40842253
m20,chr1,64.26198698
m21,chr1,70.59530227
m22,chr1,75.2166688
m23,chr1,81.58464544
m24,chr1,82.09167599
m25,chr1,82.09167609
m26,chr1,82.09167619
m27,chr1,82.09167629
m28,chr1,82.09167639
m29,chr1,86.30469357
m30,chr1,86.30469367
m31,chr1,86.30469377
m32,chr1,86.30469387
m33,chr1,86.30469397
m34,chr1,86.30469407
m35,chr1,86.33131645
m36,chr1,88.42120266
m37,chr1,88.42120276
m38,chr1,88.92882132
m39,chr1,88.92882142
m40,chr1,89.43643999
m41,chr1,89.43644009
m42,chr1,89.43644019
m43,chr1,89.43644029
m44,chr1,89.43644039
m45,chr1,98.84221241
m46,chr1,103.0124365
m47,chr1,111.7853758
m48,chr1,118.236027
m49,chr1,118.2360271
m50,chr1,118.2360272
m51,chr1,118.2360273
m52,chr1,118.7436462
m53,chr1,119.251265
m54,chr1,119.2512651
m55,chr1,119.2512652
m56,chr1,119.2512653
m57,chr1,124.0167743
m58,chr1,124.0167744
m59,chr1,129.9059262
m60,chr1,129.9059263
m61,chr1,129.9059264
m62,chr1,129.9059265
m63,chr1,130.4134417
m64,chr1,131.9521317
m65,chr1,131.9521318
m66,chr1,132.4597504
m67,chr1,132.4597505
m68,chr1,133.4801612
m69,chr1,134.8355241
m70,chr1,136.1908501
m71,chr1,137.5740659
m72,chr1,138.8715322
m73,chr1,141.3751153
m74,chr1,141.3751154
m75,chr1,141.3751155
m76,chr1,142.9136985
m77,chr1,142.9136986
m78,chr1,143.4213174
m79,chr1,143.9289362
m80,chr1,143.9289363
m81,chr1,143.9289364
m82,chr1,143.9289365
m83,chr1,143.9289366
m84,chr1,143.9289367
m85,chr1,143.9289368
m86,chr1,143.9289369
m87,chr1,143.928937
m88,chr1,143.9289371
m89,chr1,143.9289372
m90,chr1,143.9289373
m91,chr1,144.4365559
m92,chr1,144.436556
m93,chr1,144.4365561
m94,chr1,144.9441747
m95,chr1,144.9441748
m96,chr1,144.9441749
m97,chr1,144.944175
m98,chr1,144.9441751
m99,chr1,144.9441752
m100,chr1,144.9441753
