"marker","chr","pos"
"m1","chr1",6.2016
"m2","chr1",6.2016001
"m3","chr1",36.5083901403862
"m4","chr1",40.1749507540109
"m5","chr1",40.6825665841248
"m6","chr1",42.2211495185334
"m7","chr1",42.2211496185334
"m8","chr1",43.2415932000938
"m9","chr1",43.2415933000938
"m10","chr1",43.2415934000938
"m11","chr1",43.2415935000938
"m12","chr1",43.2415936000938
"m13","chr1",43.2415937000938
"m14","chr1",43.2415938000938
"m15","chr1",45.3037414930565
"m16","chr1",56.5873411245525
"m17","chr1",57.6077846942253
"m18","chr1",60.1990371133479
"m19","chr1",64.4120520101159
"m20","chr1",65.4324936054367
"m21","chr1",71.8930787491184
"m22","chr1",76.6585862923195
"m23","chr1",83.1191719382384
"m24","chr1",83.6267905054678
"m25","chr1",83.6267906054678
"m26","chr1",83.6267907054678
"m27","chr1",83.6267908054678
"m28","chr1",83.6267909054678
"m29","chr1",87.8398080863548
"m30","chr1",87.8398081863548
"m31","chr1",87.8398082863548
"m32","chr1",87.8398083863548
"m33","chr1",87.8398084863548
"m34","chr1",87.8398085863548
"m35","chr1",88.3474232802684
"m36","chr1",90.938672628301
"m37","chr1",90.938672728301
"m38","chr1",91.4462913015019
"m39","chr1",91.446291401502
"m40","chr1",91.9539099747029
"m41","chr1",91.9539100747028
"m42","chr1",91.9539101747029
"m43","chr1",91.9539102747029
"m44","chr1",91.9539103747029
"m45","chr1",101.373940369599
"m46","chr1",105.586957107571
"m47","chr1",114.400918799652
"m48","chr1",120.861505270593
"m49","chr1",120.861505370593
"m50","chr1",120.861505470593
"m51","chr1",120.861505570593
"m52","chr1",121.369124143797
"m53","chr1",121.876742717
"m54","chr1",121.876742817
"m55","chr1",121.876742917
"m56","chr1",121.876743017
"m57","chr1",126.642252007217
"m58","chr1",126.642252107217
"m59","chr1",132.531403890036
"m60","chr1",132.531403990036
"m61","chr1",132.531404090036
"m62","chr1",132.531404190036
"m63","chr1",133.039022762203
"m64","chr1",134.577605696612
"m65","chr1",134.577605796612
"m66","chr1",135.085224369813
"m67","chr1",135.085224469813
"m68","chr1",136.105668050861
"m69","chr1",137.644248784255
"m70","chr1",139.182829517121
"m71","chr1",140.721410249992
"m72","chr1",142.259989675597
"m73","chr1",144.851241734825
"m74","chr1",144.851241834825
"m75","chr1",144.851241934825
"m76","chr1",146.389824868163
"m77","chr1",146.389824968163
"m78","chr1",146.897443541366
"m79","chr1",147.40506211457
"m80","chr1",147.40506221457
"m81","chr1",147.40506231457
"m82","chr1",147.40506241457
"m83","chr1",147.40506251457
"m84","chr1",147.40506261457
"m85","chr1",147.40506271457
"m86","chr1",147.40506281457
"m87","chr1",147.40506291457
"m88","chr1",147.40506301457
