"marker","chr","pos"
"m1","chr1","10877"
"m2","chr1","10916"
"m3","chr1","10954"
"m4","chr1","11013"
"m5","chr1","11113"
"m6","chr1","11254"
"m7","chr1","11269"
"m8","chr1","11284"
"m9","chr1","11388"
"m10","chr1","11642"
"m11","chr1","12732"
"m12","chr1","12788"
"m13","chr1","12864"
"m14","chr1","12947"
"m15","chr1","13212"
"m16","chr1","13308"
"m17","chr1","13546"
"m18","chr1","13600"
"m19","chr1","13627"
"m20","chr1","13776"
"m21","chr1","14018"
"m22","chr1","14149"
"m23","chr1","14209"
"m24","chr1","14349"
"m25","chr1","14477"
"m26","chr1","14498"
"m27","chr1","14589"
"m28","chr1","14653"
"m29","chr1","14728"
"m30","chr1","14776"
"m31","chr1","14788"
"m32","chr1","14862"
"m33","chr1","14956"
"m34","chr1","15002"
"m35","chr1","15053"
"m36","chr1","15073"
"m37","chr1","15134"
"m38","chr1","15222"
"m39","chr1","15336"
"m40","chr1","15349"
"m41","chr1","15410"
"m42","chr1","15513"
"m43","chr1","15612"
"m44","chr1","15694"
"m45","chr1","15783"
"m46","chr1","15881"
"m47","chr1","15922"
"m48","chr1","16048"
"m49","chr1","16138"
"m50","chr1","16197"
"m51","chr1","16205"
"m52","chr1","16229"
"m53","chr1","16251"
"m54","chr1","16276"
"m55","chr1","16305"
"m56","chr1","16419"
"m57","chr1","16443"
"m58","chr1","16713"
"m59","chr1","16874"
"m60","chr1","16940"
"m61","chr1","17016"
"m62","chr1","17256"
"m63","chr1","17374"
"m64","chr1","17596"
"m65","chr1","17636"
"m66","chr1","17658"
"m67","chr1","17698"
"m68","chr1","17745"
"m69","chr1","17760"
"m70","chr1","17844"
"m71","chr1","17974"
"m72","chr1","18093"
"m73","chr1","18184"
"m74","chr1","18225"
"m75","chr1","18459"
"m76","chr1","18468"
"m77","chr1","18583"
"m78","chr1","18706"
"m79","chr1","18963"
"m80","chr1","18996"
"m81","chr1","19379"
"m82","chr1","19468"
"m83","chr1","19616"
"m84","chr1","19762"
"m85","chr1","19843"
"m86","chr1","19961"
"m87","chr1","20001"
"m88","chr1","20056"
"m89","chr1","20105"
"m90","chr1","20504"
"m91","chr1","20609"
"m92","chr1","20628"
"m93","chr1","20718"
"m94","chr1","20893"
"m95","chr1","20939"
"m96","chr1","21008"
"m97","chr1","21118"
"m98","chr1","21261"
"m99","chr1","21282"
"m100","chr1","21294"
"m101","chr1","21670"
"m102","chr1","21742"
"m103","chr1","22012"
"m104","chr1","22130"
"m105","chr1","22243"
"m106","chr1","22428"
"m107","chr1","22477"
"m108","chr1","22664"
"m109","chr1","22797"
"m110","chr1","22812"
"m111","chr1","23113"
"m112","chr1","23263"
"m113","chr1","23482"
"m114","chr1","23509"
"m115","chr1","23518"
"m116","chr1","23714"
"m117","chr1","23966"
"m118","chr1","24058"
"m119","chr1","24609"
"m120","chr1","24615"
"m121","chr1","24693"
"m122","chr1","24831"
"m123","chr1","25326"
"m124","chr1","25338"
"m125","chr1","25640"
"m126","chr1","25679"
"m127","chr1","25723"
"m128","chr1","25764"
"m129","chr1","26029"
"m130","chr1","26061"
"m131","chr1","26198"
"m132","chr1","26439"
"m133","chr1","26518"
"m134","chr1","26564"
"m135","chr1","26842"
"m136","chr1","26924"
"m137","chr1","27030"
"m138","chr1","27170"
"m139","chr1","27374"
"m140","chr1","27594"
"m141","chr1","27608"
"m142","chr1","27614"
"m143","chr1","27634"
"m144","chr1","27769"
"m145","chr1","27845"
"m146","chr1","27870"
"m147","chr1","27882"
"m148","chr1","27942"
"m149","chr1","27953"
"m150","chr1","27959"
"m151","chr1","27991"
"m152","chr1","27999"
"m153","chr1","28025"
"m154","chr1","28064"
"m155","chr1","28084"
"m156","chr1","28104"
"m157","chr1","28112"
"m158","chr1","28169"
"m159","chr1","28203"
"m160","chr1","28249"
"m161","chr1","28269"
"m162","chr1","28291"
"m163","chr1","28297"
"m164","chr1","28369"
"m165","chr1","28408"
"m166","chr1","28425"
"m167","chr1","28439"
"m168","chr1","28450"
"m169","chr1","28481"
"m170","chr1","28524"
"m171","chr1","28529"
"m172","chr1","28535"
"m173","chr1","28540"
"m174","chr1","28545"
"m175","chr1","28563"
"m176","chr1","28571"
"m177","chr1","28587"
"m178","chr1","28615"
"m179","chr1","28671"
"m180","chr1","28689"
"m181","chr1","28698"
"m182","chr1","28707"
"m183","chr1","28851"
"m184","chr1","28858"
"m185","chr1","28894"
"m186","chr1","28925"
"m187","chr1","28940"
"m188","chr1","28949"
"m189","chr1","28967"
"m190","chr1","28998"
"m191","chr1","29005"
"m192","chr1","29018"
"m193","chr1","29026"
"m194","chr1","29037"
"m195","chr1","29044"
"m196","chr1","29051"
"m197","chr1","29076"
"m198","chr1","29084"
"m199","chr1","29106"
"m200","chr1","29132"
"m201","chr1","29191"
"m202","chr1","29200"
"m203","chr1","29211"
"m204","chr1","29232"
"m205","chr1","29237"
"m206","chr1","29259"
"m207","chr1","29266"
"m208","chr1","29288"
"m209","chr1","29299"
"m210","chr1","29330"
"m211","chr1","29363"
"m212","chr1","29384"
"m213","chr1","29443"
"m214","chr1","29484"
"m215","chr1","29514"
"m216","chr1","29537"
"m217","chr1","29684"
"m218","chr1","29723"
"m219","chr1","30062"
"m220","chr1","30213"
"m221","chr1","30220"
"m222","chr1","30279"
"m223","chr1","30288"
"m224","chr1","30309"
"m225","chr1","30331"
"m226","chr1","30552"
"m227","chr1","30720"
"m228","chr1","30960"
"m229","chr1","31042"
"m230","chr1","31048"
"m231","chr1","31079"
"m232","chr1","31104"
"m233","chr1","31231"
"m234","chr1","31240"
"m235","chr1","31250"
"m236","chr1","31518"
"m237","chr1","31530"
"m238","chr1","31729"
"m239","chr1","31793"
"m240","chr1","31957"
"m241","chr1","32040"
"m242","chr1","32091"
"m243","chr1","32266"
"m244","chr1","32611"
"m245","chr1","32734"
"m246","chr1","32934"
"m247","chr1","33014"
"m248","chr1","33078"
"m249","chr1","33317"
"m250","chr1","33360"
"m251","chr1","33369"
"m252","chr1","33396"
"m253","chr1","33473"
"m254","chr1","33482"
"m255","chr1","33569"
"m256","chr1","33651"
"m257","chr1","34216"
"m258","chr1","34319"
"m259","chr1","34357"
"m260","chr1","34417"
"m261","chr1","34732"
"m262","chr1","34800"
"m263","chr1","34837"
"m264","chr1","34924"
"m265","chr1","34933"
"m266","chr1","35032"
"m267","chr1","35672"
"m268","chr1","35764"
"m269","chr1","36200"
"m270","chr1","36342"
"m271","chr1","36363"
"m272","chr1","36375"
"m273","chr1","36392"
"m274","chr1","36440"
"m275","chr1","36490"
"m276","chr1","36585"
"m277","chr1","36702"
"m278","chr1","37008"
"m279","chr1","37228"
"m280","chr1","37386"
"m281","chr1","37423"
"m282","chr1","37470"
"m283","chr1","37497"
"m284","chr1","37816"
"m285","chr1","37828"
"m286","chr1","37842"
"m287","chr1","37918"
"m288","chr1","38612"
"m289","chr1","38753"
"m290","chr1","38826"
"m291","chr1","38884"
"m292","chr1","38912"
"m293","chr1","38934"
"m294","chr1","38953"
"m295","chr1","39080"
"m296","chr1","39099"
"m297","chr1","40438"
"m298","chr1","40625"
"m299","chr1","40889"
"m300","chr1","41150"
