"marker","chr","pos"
"m1","chr1",4.3508
"m2","chr1",4.3664
"m3","chr1",4.3816
"m4","chr1",4.4052
"m5","chr1",4.4452
"m6","chr1",4.5016
"m7","chr1",4.5076
"m8","chr1",4.5136
"m9","chr1",4.5552
"m10","chr1",4.6568
"m11","chr1",5.0928
"m12","chr1",5.1152
"m13","chr1",5.1456
"m14","chr1",5.1788
"m15","chr1",5.2848
"m16","chr1",5.3232
"m17","chr1",5.4184
"m18","chr1",5.44
"m19","chr1",5.4508
"m20","chr1",5.5104
"m21","chr1",5.6072
"m22","chr1",5.6596
"m23","chr1",5.6836
"m24","chr1",5.7396
"m25","chr1",5.7908
"m26","chr1",5.7992
"m27","chr1",5.8356
"m28","chr1",5.8612
"m29","chr1",5.8912
"m30","chr1",5.9104
"m31","chr1",5.9152
"m32","chr1",5.9448
"m33","chr1",5.9824
"m34","chr1",6.0008
"m35","chr1",6.0212
"m36","chr1",6.0292
"m37","chr1",6.0536
"m38","chr1",6.0888
"m39","chr1",6.1344
"m40","chr1",6.1396
"m41","chr1",6.164
"m42","chr1",6.2052
"m43","chr1",6.2448
"m44","chr1",6.2776
"m45","chr1",6.3132
"m46","chr1",6.3524
"m47","chr1",6.3688
"m48","chr1",6.4192
"m49","chr1",6.4552
"m50","chr1",6.4788
"m51","chr1",6.482
"m52","chr1",6.4916
"m53","chr1",6.5004
"m54","chr1",6.5104
"m55","chr1",6.522
"m56","chr1",6.5676
"m57","chr1",6.5772
"m58","chr1",6.6852
"m59","chr1",6.7496
"m60","chr1",6.776
"m61","chr1",6.8064
"m62","chr1",6.9024
"m63","chr1",6.9496
"m64","chr1",7.0384
"m65","chr1",7.0544
"m66","chr1",7.0632
"m67","chr1",7.0792
"m68","chr1",7.098
"m69","chr1",7.104
"m70","chr1",7.1376
"m71","chr1",7.1896
"m72","chr1",7.2372
"m73","chr1",7.2736
"m74","chr1",7.29
"m75","chr1",7.3836
"m76","chr1",7.3872
"m77","chr1",7.4332
"m78","chr1",7.4824
"m79","chr1",7.5852
"m80","chr1",7.5984
"m81","chr1",7.7516
"m82","chr1",7.7872
"m83","chr1",7.8464
"m84","chr1",7.9048
"m85","chr1",7.9372
"m86","chr1",7.9844
"m87","chr1",8.0004
"m88","chr1",8.0224
"m89","chr1",8.042
"m90","chr1",8.2016
"m91","chr1",8.2436
"m92","chr1",8.2512
"m93","chr1",8.2872
"m94","chr1",8.3572
"m95","chr1",8.3756
"m96","chr1",8.4032
"m97","chr1",8.4472
"m98","chr1",8.5044
"m99","chr1",8.5128
"m100","chr1",8.5176
"m101","chr1",8.668
"m102","chr1",8.6968
"m103","chr1",8.8048
"m104","chr1",8.852
"m105","chr1",8.8972
"m106","chr1",8.9712
"m107","chr1",8.9908
"m108","chr1",9.0656
"m109","chr1",9.1188
"m110","chr1",9.1248
"m111","chr1",9.2452
"m112","chr1",9.3052
"m113","chr1",9.3928
"m114","chr1",9.4036
"m115","chr1",9.4072
"m116","chr1",9.4856
"m117","chr1",9.5864
"m118","chr1",9.6232
"m119","chr1",9.8436
"m120","chr1",9.846
"m121","chr1",9.8772
"m122","chr1",9.9324
"m123","chr1",10.1304
"m124","chr1",10.1352
"m125","chr1",10.256
"m126","chr1",10.2716
"m127","chr1",10.2892
"m128","chr1",10.3056
"m129","chr1",10.4116
"m130","chr1",10.4244
"m131","chr1",10.4792
"m132","chr1",10.5756
"m133","chr1",10.6072
"m134","chr1",10.6256
"m135","chr1",10.7368
"m136","chr1",10.7696
"m137","chr1",10.812
"m138","chr1",10.868
"m139","chr1",10.9496
"m140","chr1",11.0376
"m141","chr1",11.0432
"m142","chr1",11.0456
"m143","chr1",11.0536
"m144","chr1",11.1076
"m145","chr1",11.138
"m146","chr1",11.148
"m147","chr1",11.1528
"m148","chr1",11.1768
"m149","chr1",11.1812
"m150","chr1",11.1836
"m151","chr1",11.1964
"m152","chr1",11.1996
"m153","chr1",11.21
"m154","chr1",11.2256
"m155","chr1",11.2336
"m156","chr1",11.2416
"m157","chr1",11.2448
"m158","chr1",11.2676
"m159","chr1",11.2812
"m160","chr1",11.2996
"m161","chr1",11.3076
"m162","chr1",11.3164
"m163","chr1",11.3188
"m164","chr1",11.3476
"m165","chr1",11.3632
"m166","chr1",11.37
"m167","chr1",11.3756
"m168","chr1",11.38
"m169","chr1",11.3924
"m170","chr1",11.4096
"m171","chr1",11.4116
"m172","chr1",11.414
"m173","chr1",11.416
"m174","chr1",11.418
"m175","chr1",11.4252
"m176","chr1",11.4284
"m177","chr1",11.4348
"m178","chr1",11.446
"m179","chr1",11.4684
"m180","chr1",11.4756
"m181","chr1",11.4792
"m182","chr1",11.4828
"m183","chr1",11.5404
"m184","chr1",11.5432
"m185","chr1",11.5576
"m186","chr1",11.57
"m187","chr1",11.576
"m188","chr1",11.5796
"m189","chr1",11.5868
"m190","chr1",11.5992
"m191","chr1",11.602
"m192","chr1",11.6072
"m193","chr1",11.6104
"m194","chr1",11.6148
"m195","chr1",11.6176
"m196","chr1",11.6204
"m197","chr1",11.6304
"m198","chr1",11.6336
"m199","chr1",11.6424
"m200","chr1",11.6528
"m201","chr1",11.6764
"m202","chr1",11.68
"m203","chr1",11.6844
"m204","chr1",11.6928
"m205","chr1",11.6948
"m206","chr1",11.7036
"m207","chr1",11.7064
"m208","chr1",11.7152
"m209","chr1",11.7196
"m210","chr1",11.732
"m211","chr1",11.7452
"m212","chr1",11.7536
"m213","chr1",11.7772
"m214","chr1",11.7936
"m215","chr1",11.8056
"m216","chr1",11.8148
"m217","chr1",11.8736
"m218","chr1",11.8892
"m219","chr1",12.0248
"m220","chr1",12.0852
"m221","chr1",12.088
"m222","chr1",12.1116
"m223","chr1",12.1152
"m224","chr1",12.1236
"m225","chr1",12.1324
"m226","chr1",12.2208
"m227","chr1",12.288
"m228","chr1",12.384
"m229","chr1",12.4168
"m230","chr1",12.4192
"m231","chr1",12.4316
"m232","chr1",12.4416
"m233","chr1",12.4924
"m234","chr1",12.496
"m235","chr1",12.5
"m236","chr1",12.6072
"m237","chr1",12.612
"m238","chr1",12.6916
"m239","chr1",12.7172
"m240","chr1",12.7828
"m241","chr1",12.816
"m242","chr1",12.8364
"m243","chr1",12.9064
"m244","chr1",13.0444
"m245","chr1",13.0936
"m246","chr1",13.1736
"m247","chr1",13.2056
"m248","chr1",13.2312
"m249","chr1",13.3268
"m250","chr1",13.344
"m251","chr1",13.3476
"m252","chr1",13.3584
"m253","chr1",13.3892
"m254","chr1",13.3928
"m255","chr1",13.4276
"m256","chr1",13.4604
"m257","chr1",13.6864
"m258","chr1",13.7276
"m259","chr1",13.7428
"m260","chr1",13.7668
"m261","chr1",13.8928
"m262","chr1",13.92
"m263","chr1",13.9348
"m264","chr1",13.9696
"m265","chr1",13.9732
"m266","chr1",14.0128
"m267","chr1",14.2688
"m268","chr1",14.3056
"m269","chr1",14.48
"m270","chr1",14.5368
"m271","chr1",14.5452
"m272","chr1",14.55
"m273","chr1",14.5568
"m274","chr1",14.576
"m275","chr1",14.596
"m276","chr1",14.634
"m277","chr1",14.6808
"m278","chr1",14.8032
"m279","chr1",14.8912
"m280","chr1",14.9544
"m281","chr1",14.9692
"m282","chr1",14.988
"m283","chr1",14.9988
"m284","chr1",15.1264
"m285","chr1",15.1312
"m286","chr1",15.1368
"m287","chr1",15.1672
"m288","chr1",15.4448
"m289","chr1",15.5012
"m290","chr1",15.5304
"m291","chr1",15.5536
"m292","chr1",15.5648
"m293","chr1",15.5736
"m294","chr1",15.5812
"m295","chr1",15.632
"m296","chr1",15.6396
"m297","chr1",16.1752
"m298","chr1",16.25
"m299","chr1",16.3556
"m300","chr1",16.46
"m301","chr1",16.8756
"m302","chr1",16.8848
"m303","chr1",17.28
"m304","chr1",17.2956
"m305","chr1",17.2976
"m306","chr1",17.4176
"m307","chr1",17.4844
"m308","chr1",23.3952
"m309","chr1",23.416
"m310","chr1",23.4248
"m311","chr1",23.5976
"m312","chr1",23.6408
"m313","chr1",24.2148
"m314","chr1",24.7312
"m315","chr1",24.8808
"m316","chr1",24.8956
"m317","chr1",24.9924
"m318","chr1",25.0704
"m319","chr1",25.09
