#Aspergillus physical map based on V108-20 parent,,
#nrow 14113,,
#ncol 3,,
marker,chr,pos
m1,chr1,15504
m2,chr1,40768
m3,chr1,130190
m4,chr1,131434
m5,chr1,131761
m6,chr1,132464
m7,chr1,132493
m8,chr1,133051
m9,chr1,133424
m10,chr1,133547
m11,chr1,133802
m12,chr1,134013
m13,chr1,134128
m14,chr1,134243
m15,chr1,135391
m16,chr1,141627
m17,chr1,142112
m18,chr1,143256
m19,chr1,144631
m20,chr1,145299
m21,chr1,147827
m22,chr1,148832
m23,chr1,150494
m24,chr1,150656
m25,chr1,150947
m26,chr1,151268
m27,chr1,151309
m28,chr1,151515
m29,chr1,158114
m30,chr1,158157
m31,chr1,158255
m32,chr1,158266
m33,chr1,158366
m34,chr1,158503
m35,chr1,158885
m36,chr1,160069
m37,chr1,160131
m38,chr1,160462
m39,chr1,160572
m40,chr1,161170
m41,chr1,161300
m42,chr1,161950
m43,chr1,162555
m44,chr1,162770
m45,chr1,173569
m46,chr1,176737
m47,chr1,180873
m48,chr1,184838
m49,chr1,185053
m50,chr1,185146
m51,chr1,185153
m52,chr1,185529
m53,chr1,185834
m54,chr1,185892
m55,chr1,185984
m56,chr1,186350
m57,chr1,188642
m58,chr1,188705
m59,chr1,197673
m60,chr1,197764
m61,chr1,197904
m62,chr1,197920
m63,chr1,198553
m64,chr1,199473
m65,chr1,199691
m66,chr1,200835
m67,chr1,200921
m68,chr1,202026
m69,chr1,203140
m70,chr1,204225
m71,chr1,206594
m72,chr1,207214
m73,chr1,208124
m74,chr1,208251
m75,chr1,208358
m76,chr1,208821
m77,chr1,209068
m78,chr1,209690
m79,chr1,209840
m80,chr1,210017
m81,chr1,210191
m82,chr1,210617
m83,chr1,211056
m84,chr1,211061
m85,chr1,211807
m86,chr1,211830
m87,chr1,211833
m88,chr1,211910
m89,chr1,212050
m90,chr1,212621
m91,chr1,213263
m92,chr1,213669
m93,chr1,215362
m94,chr1,216712
m95,chr1,216986
m96,chr1,219514
m97,chr1,219962
m98,chr1,220205
m99,chr1,224377
m100,chr1,225119
m101,chr1,225278
m102,chr1,225494
m103,chr1,225937
m104,chr1,226111
m105,chr1,227854
m106,chr1,229989
m107,chr1,232661
m108,chr1,263127
m109,chr1,271327
m110,chr1,274398
m111,chr1,313325
m112,chr1,315106
m113,chr1,324428
m114,chr1,329814
m115,chr1,333066
m116,chr1,336782
m117,chr1,339332
m118,chr1,339482
